angle,distance
-0.6220353454107788,151.9
-0.6220353454107788,152.5
-0.6220353454107788,152.5
-0.6143558967020037,152.1
-0.6066764479932287,152.5
-0.6028367236388412,152.1
-0.5913175505756787,152.5
-0.5797983775125162,152.1
-0.564439480094966,152.5
-0.5490805826774159,152.5
-0.5452408583230284,152.5
-0.5414011339686409,152.0
-0.5375614096142534,152.5
-0.5375614096142534,152.0
-0.5298819609054783,152.0
-0.5298819609054783,152.0
-0.5260422365510908,152.0
-0.5222025121967033,152.0
-0.5106833391335408,152.1
-0.5030038904247658,151.70000000000002
-0.49532444171599077,151.70000000000002
-0.48380526865282825,151.70000000000002
-0.47612581994405323,152.1
-0.4722860955896657,151.20000000000002
-0.4646066468808907,151.1
-0.4569271981721157,151.3
-0.4530874738177282,151.3
-0.4415683007545656,150.9
-0.43388885204579053,151.3
-0.42620940333701546,150.9
-0.4185299546282404,151.3
-0.4108505059194653,150.4
-0.40317105721069024,151.1
-0.39549160850191517,151.1
-0.39165188414752766,151.1
-0.3839724354387526,151.1
-0.3762929867299775,150.9
-0.36477381366681494,150.5
-0.35325464060365236,150.9
-0.34941491624926485,150.5
-0.3417354675404898,150.6
-0.33789574318610227,150.9
-0.3263765701229397,151.3
-0.3186971214141646,151.3
-0.30717794835100204,255.0
-0.29565877528783946,32.6
-0.29181905093345195,32.6
-0.2841396022246769,32.4
-0.2764601535159018,32.6
-0.2726204291615143,32.6
-0.2649409804527392,32.6
-0.25342180738957665,32.6
-0.2457423586808016,32.6
-0.23806290997202653,255.0
-0.23038346126325146,255.0
-0.2227040125544764,255.0
-0.21502456384570132,32.6
-0.20734511513692624,20.3
-0.1996656664281512,20.3
-0.19198621771937616,20.400000000000002
-0.18814649336498862,19.8
-0.18046704465621358,19.8
-0.17278759594743853,19.8
-0.1651081472386635,19.8
-0.15742869852988844,19.8
-0.1497492498211134,19.8
-0.14206980111233836,19.8
-0.13055062804917578,32.6
-0.12287117934040073,32.6
-0.11519173063162569,32.4
-0.10751228192285064,32.6
-0.0998328332140756,32.4
-0.09215338450530056,20.900000000000002
-0.08447393579652551,20.5
-0.07679448708775047,19.8
-0.06911503837897542,19.8
-0.05759586531581284,19.8
-0.04607669225265026,19.8
-0.03455751918948768,32.6
-0.023038346126325097,32.6
-0.019198621771937575,20.5
-0.011519173063162524,19.8
-0.007679448708775002,19.700000000000003
4.85722573273506e-17,19.700000000000003
0.011519173063162622,19.700000000000003
0.023038346126325195,19.0
0.030717794835100246,19.700000000000003
0.0383972435438753,20.400000000000002
0.04223696789826282,32.6
0.05375614096142539,32.4
0.06143558967020045,32.4
0.0691150383789755,160.10000000000002
0.08063421144213807,160.3
0.0844739357965256,160.3
0.09215338450530064,160.4
0.0998328332140757,19.8
0.10751228192285076,19.8
0.1151917306316258,19.8
0.12287117934040084,20.700000000000003
0.1305506280491759,21.1
0.13823007675795093,22.1
0.14206980111233844,22.5
0.14974924982111348,22.900000000000002
0.15742869852988853,24.3
0.16126842288427606,32.6
0.17278759594743862,32.4
0.18046704465621366,32.6
0.1843067690106012,32.6
0.19198621771937624,32.4
0.19966566642815128,162.3
0.21118483949131386,162.70000000000002
0.2150245638457014,162.70000000000002
0.22654373690886398,255.0
0.23422318561763902,255.0
0.2457423586808016,255.0
0.25342180738957665,255.0
0.2611012560983517,255.0
0.26878070480712674,255.0
0.2764601535159018,255.0
0.2879793265790644,32.6
0.2918190509334519,32.6
0.29565877528783946,32.6
0.30333822399661453,255.0
0.30717794835100204,255.0
0.3186971214141646,255.0
0.3263765701229397,255.0
0.33789574318610227,255.0
0.34941491624926485,255.0
0.35325464060365236,255.0
0.36093408931242743,255.0
0.36477381366681494,255.0
0.37245326237559,255.0
0.3801327110843651,255.0
0.38781215979314015,255.0
0.3954916085019152,255.0
0.4031710572106903,255.0
0.41085050591946537,255.0
0.41852995462824044,255.0
0.4262094033370155,255.0
0.4338888520457906,255.0
0.44156830075456566,255.0
0.44924774946334073,255.0
0.4569271981721158,255.0
0.4646066468808909,255.0
0.47228609558966594,255.0
0.479965544298441,255.0
0.4914847173616036,255.0
0.49916416607037867,255.0
0.5106833391335412,255.0
0.5183627878423163,255.0
0.5260422365510914,255.0
0.5298819609054789,255.0
0.5414011339686414,255.0
0.5452408583230289,255.0
0.5567600313861916,255.0
0.5721189288037417,255.0
0.5759586531581292,255.0
0.5836381018669042,255.0
0.5874778262212917,255.0
0.5913175505756793,255.0
0.5951572749300668,255.0
0.6105161723476169,255.0
